Commit Hash,Author,Date,Commit Message
b6b8eeb,sonardigital,2025-09-29,favicon updated
a0a269d,sonardigital,2025-09-25,kozerdeku-adatok domain + external link
f603051,sonardigital,2025-09-25,adatok
2e39e3d,sonardigital,2025-09-25,kozadat new page goes public
f0851da,sonardigital,2025-09-23,mobile fixes and pdf upload
9379f00,sonardigital,2025-09-22,kozerdeku adat container fix
981c621,sonardigital,2025-09-17,"pdf insertion for testing, closed accordions, icon loading"
46b6648,sonardigital,2025-09-16,title spacing
0da9355,sonardigital,2025-09-16,kozerdeku adat h1 fix
89a6a87,sonardigital,2025-09-15,kozerdeku adat page for testing
e2ffa1b,Gyorgy,24


